,country_x,region_x,percent_mc,percent_cli,survey_date
128,Germany,Berlin,0.803389,0.0,20200906
129,Germany,Berlin,0.757507,0.004902,20200907
130,Germany,Berlin,0.753091,0.004087,20200908
131,Germany,Berlin,0.838499,0.002551,20200909
132,Germany,Berlin,0.845879,0.005215,20200910
133,Germany,Berlin,0.844705,0.0094,20200911
134,Germany,Berlin,0.866404,0.001479,20200912
135,Germany,Berlin,0.826628,0.023503,20200913
136,Germany,Berlin,0.808035,0.00531,20200914
137,Germany,Berlin,0.775963,0.0,20200915
138,Germany,Berlin,0.81997,0.0,20200916
139,Germany,Berlin,0.829172,0.003384,20200917
140,Germany,Berlin,0.889021,0.0,20200918
141,Germany,Berlin,0.839511,0.002391,20200919
142,Germany,Berlin,0.833203,0.002126,20200920
143,Germany,Berlin,0.781738,0.001877,20200921
144,Germany,Berlin,0.784281,0.025709,20200922
145,Germany,Berlin,0.827993,0.002813,20200923
146,Germany,Berlin,0.814029,0.010731,20200924
147,Germany,Berlin,0.844121,0.003058,20200925
148,Germany,Berlin,0.837125,0.004199,20200926
149,Germany,Berlin,0.809154,0.010812,20200927
150,Germany,Berlin,0.741714,0.002,20200928
151,Germany,Berlin,0.806941,0.008551,20200929
152,Germany,Berlin,0.787822,0.00112,20200930
153,Germany,Berlin,0.837173,0.004742,20201001
154,Germany,Berlin,0.827525,0.004206,20201002
155,Germany,Berlin,0.688672,0.004762,20201003
156,Germany,Berlin,0.786961,0.004286,20201004
157,Germany,Berlin,0.850879,0.02488,20201005
158,Germany,Berlin,0.830711,0.002809,20201006
159,Germany,Berlin,0.805525,0.0,20201007
160,Germany,Berlin,0.850795,0.007851,20201008
161,Germany,Berlin,0.887082,0.0,20201009
162,Germany,Berlin,0.83175,0.010069,20201010
163,Germany,Berlin,0.822489,0.016817,20201011
164,Germany,Berlin,0.879757,0.001278,20201012
165,Germany,Berlin,0.819289,0.011669,20201013
166,Germany,Berlin,0.858338,0.005959,20201014
167,Germany,Berlin,0.843531,0.013722,20201015
168,Germany,Berlin,0.839604,0.001392,20201016
169,Germany,Berlin,0.834499,0.013242,20201017
170,Germany,Berlin,0.864834,0.002354,20201018
171,Germany,Berlin,0.906065,0.006533,20201019
172,Germany,Berlin,0.819027,0.00433,20201020
173,Germany,Berlin,0.869133,0.002451,20201021
174,Germany,Berlin,0.810092,0.024379,20201022
175,Germany,Berlin,0.862203,0.007737,20201023
176,Germany,Berlin,0.871185,0.005164,20201024
177,Germany,Berlin,0.843121,0.003764,20201025
178,Germany,Berlin,0.846557,0.00447,20201027
179,Germany,Berlin,0.873025,0.005394,20201028
180,Germany,Berlin,0.849753,0.011375,20201029
181,Germany,Berlin,0.858235,0.009967,20201030
182,Germany,Berlin,0.905863,0.017163,20201031
183,Germany,Berlin,0.907678,0.008613,20201101
184,Germany,Berlin,0.817444,0.005236,20201102
185,Germany,Berlin,0.846487,0.006626,20201103
186,Germany,Berlin,0.870431,0.003534,20201104
187,Germany,Berlin,0.90949,0.0093,20201105
188,Germany,Berlin,0.884146,0.007766,20201106
189,Germany,Berlin,0.913518,0.00919,20201107
190,Germany,Berlin,0.889729,0.007044,20201108
191,Germany,Berlin,0.823177,0.005539,20201109
192,Germany,Berlin,0.845415,0.016616,20201110
193,Germany,Berlin,0.894335,0.00289,20201111
194,Germany,Berlin,0.871273,0.0,20201112
195,Germany,Berlin,0.879167,0.029599,20201113
196,Germany,Berlin,0.906672,0.0,20201114
197,Germany,Berlin,0.874588,0.010196,20201115
198,Germany,Berlin,0.889995,0.006616,20201116
199,Germany,Berlin,0.875728,0.004129,20201117
200,Germany,Berlin,0.845634,0.022725,20201118
201,Germany,Berlin,0.890799,0.014927,20201119
202,Germany,Berlin,0.889533,0.008778,20201120
203,Germany,Berlin,0.861373,0.023138,20201121
204,Germany,Berlin,0.896996,0.007509,20201122
205,Germany,Berlin,0.880016,0.0,20201123
206,Germany,Berlin,0.887224,0.007994,20201124
207,Germany,Berlin,0.857248,0.005555,20201125
208,Germany,Berlin,0.855882,0.005723,20201126
209,Germany,Berlin,0.901908,0.002112,20201127
210,Germany,Berlin,0.886217,0.030206,20201128
211,Germany,Berlin,0.805841,0.009627,20201129
212,Germany,Berlin,0.875739,0.004248,20201130
213,Germany,Berlin,0.909279,0.0,20201201
214,Germany,Berlin,0.858902,0.001857,20201202
215,Germany,Berlin,0.805372,0.032641,20201203
216,Germany,Berlin,0.860139,0.004031,20201204
217,Germany,Berlin,0.8955,0.0,20201205
218,Germany,Berlin,0.839026,0.013933,20201206
219,Germany,Berlin,0.877377,0.015601,20201207
220,Germany,Berlin,0.890578,0.009127,20201208
221,Germany,Berlin,0.885456,0.023631,20201209
222,Germany,Berlin,0.83455,0.007034,20201210
223,Germany,Berlin,0.918153,0.0,20201211
224,Germany,Berlin,0.895323,0.052885,20201212
225,Germany,Berlin,0.918349,0.001084,20201213
226,Germany,Berlin,0.923246,0.00502,20201214
227,Germany,Berlin,0.918568,0.003008,20201215
228,Germany,Berlin,0.923633,0.039121,20201216
229,Germany,Berlin,0.940022,0.001617,20201217
230,Germany,Berlin,0.908405,0.002694,20201218
231,Germany,Berlin,0.806276,0.003267,20201219
232,Germany,Berlin,0.896763,0.002445,20201220
233,Germany,Berlin,0.8736,0.029982,20201221
234,Germany,Berlin,0.92813,0.0,20201222
235,Germany,Berlin,0.828947,0.016089,20201223
236,Germany,Berlin,0.762408,0.012246,20201224
237,Germany,Berlin,0.875306,0.00507,20201225
238,Germany,Berlin,0.889331,0.0181,20201226
239,Germany,Berlin,0.895724,0.010698,20201227
240,Germany,Berlin,0.822106,0.002603,20201228
241,Germany,Berlin,0.872928,0.005101,20201229
242,Germany,Berlin,0.877919,0.0,20201230
243,Germany,Berlin,0.835429,0.0,20201231
244,Germany,Berlin,0.866059,0.0,20210101
245,Germany,Berlin,0.838868,0.014455,20210102
246,Germany,Berlin,0.811136,0.018067,20210104
247,Germany,Berlin,0.865623,0.0,20210105
248,Germany,Berlin,0.865426,0.0,20210106
249,Germany,Berlin,0.891194,0.055984,20210107
250,Germany,Berlin,0.884444,0.0,20210108
251,Germany,Berlin,0.870414,0.007896,20210109
252,Germany,Berlin,0.879219,0.001572,20210110
253,Germany,Berlin,0.826132,0.0,20210111
254,Germany,Berlin,0.83022,0.002117,20210112
255,Germany,Berlin,0.914983,0.0,20210113
256,Germany,Berlin,0.862114,0.011078,20210114
257,Germany,Berlin,0.880277,0.005233,20210115
258,Germany,Berlin,0.880572,0.002827,20210116
259,Germany,Berlin,0.862591,0.003208,20210117
260,Germany,Berlin,0.799132,0.061504,20210118
261,Germany,Berlin,0.775172,0.013019,20210119
262,Germany,Berlin,0.915038,0.005724,20210120
263,Germany,Berlin,0.81148,0.0,20210121
264,Germany,Berlin,0.860994,0.015681,20210122
265,Germany,Berlin,0.864047,0.019371,20210123
266,Germany,Berlin,0.895945,0.0,20210124
267,Germany,Berlin,0.898871,0.004472,20210125
268,Germany,Berlin,0.876531,0.006605,20210126
269,Germany,Berlin,0.877263,0.0,20210127
270,Germany,Berlin,0.869247,0.001054,20210128
271,Germany,Berlin,0.826367,0.004762,20210129
272,Germany,Berlin,0.843229,0.005123,20210130
273,Germany,Berlin,0.865677,0.011616,20210131
274,Germany,Berlin,0.871395,0.006494,20210201
